@odata.etag,dataAreaId,RecordId,PriceApplicableFromDate,WillSearchContinue,SalesPriceQuantity,QuantityUnitySymbol,ProductNumber,AttributeBasedPricingId,ProductSizeId,ItemNumber,ProductVersionId,PriceCurrencyCode,ToQuantity,FixedPriceCharges,WillDeliveryDateControlDisregardLeadTime,PriceApplicableToDate,PriceWarehouseId,SalesLeadTimeDays,FromQuantity,CustomerAccountNumber,PriceCustomerGroupCode,Price,PriceSiteId,IsGenericCurrencySearchEnabled,ProductColorId,ProductconfigurationId,ProductStyleId,VERItemRelation,VERItemCode,VERProductConfigCombinationCode,VERProductConfigCombinationCodeFull
"W/""JzEsNTYzNzQxMzAyOCc=""",inc,5637413028,2024-06-11T12:00:00Z,Yes,1,EACH,"ESCALAS 0205TA :  : SPC-000453",,,"ESCALAS 0205TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1900,,Yes,,,SPC-000453,"ESCALAS 0205TA",Table,Seat-SO1035/Back-SO1035,Seat-SO1035-/Back-SO1035-
"W/""JzEsNTYzNzQxMzAyOSc=""",inc,5637413029,2024-06-11T12:00:00Z,Yes,1,EACH,"ESCALAS 0205TA :  : SPC-000454",,,"ESCALAS 0205TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1800,,Yes,,,SPC-000454,"ESCALAS 0205TA",Table,Seat-SO1039/Back-SO1039,Seat-SO1039-/Back-SO1039-
"W/""JzEsNTYzNzQxMzAzMCc=""",inc,5637413030,2024-06-11T12:00:00Z,Yes,1,EACH,"ESCALAS 0205TA :  : SPC-000455",,,"ESCALAS 0205TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2130,,Yes,,,SPC-000455,"ESCALAS 0205TA",Table,Seat-SO1082/Back-SO1082,Seat-SO1082-/Back-SO1082-
"W/""JzEsNTYzNzQxMzAzMSc=""",inc,5637413031,2024-06-11T12:00:00Z,Yes,1,EACH,"ESCALAS 0205TA :  : SPC-000456",,,"ESCALAS 0205TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2500,,Yes,,,SPC-000456,"ESCALAS 0205TA",Table,Seat-SO1084/Back-SO1084,Seat-SO1084-/Back-SO1084-
"W/""JzEsNTYzNzQxMzAzMic=""",inc,5637413032,2024-06-11T12:00:00Z,Yes,1,EACH,"ESCALAS 0205TA :  : SPC-000457",,,"ESCALAS 0205TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,3470,,Yes,,,SPC-000457,"ESCALAS 0205TA",Table,Seat-SO1287/Back-SO1287,Seat-SO1287-/Back-SO1287-
