@odata.etag,dataAreaId,RecordId,PriceApplicableFromDate,WillSearchContinue,SalesPriceQuantity,QuantityUnitySymbol,ProductNumber,AttributeBasedPricingId,ProductSizeId,ItemNumber,ProductVersionId,PriceCurrencyCode,ToQuantity,FixedPriceCharges,WillDeliveryDateControlDisregardLeadTime,PriceApplicableToDate,PriceWarehouseId,SalesLeadTimeDays,FromQuantity,CustomerAccountNumber,PriceCustomerGroupCode,Price,PriceSiteId,IsGenericCurrencySearchEnabled,ProductColorId,ProductconfigurationId,ProductStyleId,VERItemRelation,VERItemCode,VERProductConfigCombinationCode,VERProductConfigCombinationCodeFull
"W/""JzEsNTYzNzM4MjE0MCc=""",inc,5637382140,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0200TA :  : SPC-000453",,,"ESCALAS 0200TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1900,,Yes,,,SPC-000453,"ESCALAS 0200TA",Table,Seat-SO1035/Back-SO1035,Seat-SO1035-/Back-SO1035-
"W/""JzEsNTYzNzM4MjE0MSc=""",inc,5637382141,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0200TA :  : SPC-000454",,,"ESCALAS 0200TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1800,,Yes,,,SPC-000454,"ESCALAS 0200TA",Table,Seat-SO1039/Back-SO1039,Seat-SO1039-/Back-SO1039-
"W/""JzEsNTYzNzM4MjE0Mic=""",inc,5637382142,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0200TA :  : SPC-000455",,,"ESCALAS 0200TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2130,,Yes,,,SPC-000455,"ESCALAS 0200TA",Table,Seat-SO1082/Back-SO1082,Seat-SO1082-/Back-SO1082-
"W/""JzEsNTYzNzM4MjE0Myc=""",inc,5637382143,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0200TA :  : SPC-000456",,,"ESCALAS 0200TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2500,,Yes,,,SPC-000456,"ESCALAS 0200TA",Table,Seat-SO1084/Back-SO1084,Seat-SO1084-/Back-SO1084-
"W/""JzEsNTYzNzM4MjE0NCc=""",inc,5637382144,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0200TA :  : SPC-000457",,,"ESCALAS 0200TA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,3470,,Yes,,,SPC-000457,"ESCALAS 0200TA",Table,Seat-SO1287/Back-SO1287,Seat-SO1287-/Back-SO1287-
