@odata.etag,dataAreaId,RecordId,PriceApplicableFromDate,WillSearchContinue,SalesPriceQuantity,QuantityUnitySymbol,ProductNumber,AttributeBasedPricingId,ProductSizeId,ItemNumber,ProductVersionId,PriceCurrencyCode,ToQuantity,FixedPriceCharges,WillDeliveryDateControlDisregardLeadTime,PriceApplicableToDate,PriceWarehouseId,SalesLeadTimeDays,FromQuantity,CustomerAccountNumber,PriceCustomerGroupCode,Price,PriceSiteId,IsGenericCurrencySearchEnabled,ProductColorId,ProductconfigurationId,ProductStyleId,VERItemRelation,VERItemCode,VERProductConfigCombinationCode,VERProductConfigCombinationCodeFull
"W/""JzEsNTYzNzM4MjEzNic=""",inc,5637382136,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0040 :  : SPC-000853",,,"ESCALAS 0040",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,3350,,Yes,,,SPC-000853,"ESCALAS 0040",Table,Frame-SO1105,Frame-SO1105-
"W/""JzEsNTYzNzM4MjEzNyc=""",inc,5637382137,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0040 :  : SPC-000854",,,"ESCALAS 0040",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,3680,,Yes,,,SPC-000854,"ESCALAS 0040",Table,Frame-SO1106,Frame-SO1106-
