@odata.etag,dataAreaId,RecordId,PriceApplicableFromDate,WillSearchContinue,SalesPriceQuantity,QuantityUnitySymbol,ProductNumber,AttributeBasedPricingId,ProductSizeId,ItemNumber,ProductVersionId,PriceCurrencyCode,ToQuantity,FixedPriceCharges,WillDeliveryDateControlDisregardLeadTime,PriceApplicableToDate,PriceWarehouseId,SalesLeadTimeDays,FromQuantity,CustomerAccountNumber,PriceCustomerGroupCode,Price,PriceSiteId,IsGenericCurrencySearchEnabled,ProductColorId,ProductconfigurationId,ProductStyleId,VERItemRelation,VERItemCode,VERProductConfigCombinationCode,VERProductConfigCombinationCodeFull
"W/""JzEsNTYzNzM4MjI0OSc=""",inc,5637382249,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0415MA :  : SPC-000961",,,"ESCALAS 0415MA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1000,,Yes,,,SPC-000961,"ESCALAS 0415MA",Table,Top-SO1114,Top-SO1114-
"W/""JzEsNTYzNzM4MjI1MCc=""",inc,5637382250,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0415MA :  : SPC-000962",,,"ESCALAS 0415MA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1070,,Yes,,,SPC-000962,"ESCALAS 0415MA",Table,Top-SO1115,Top-SO1115-
"W/""JzEsNTYzNzM4MjI1MSc=""",inc,5637382251,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0415MA :  : SPC-000963",,,"ESCALAS 0415MA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,960,,Yes,,,SPC-000963,"ESCALAS 0415MA",Table,Top-SO1117,Top-SO1117-
"W/""JzEsNTYzNzM4MjI1Mic=""",inc,5637382252,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0415MA :  : SPC-001004",,,"ESCALAS 0415MA",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1000,,Yes,,,SPC-001004,"ESCALAS 0415MA",Table,Top-SO1125,Top-SO1125-
